Date,Close
1/2/19,9.64
1/3/19,9.29
1/4/19,9.67
1/7/19,9.88
1/8/19,9.82
1/9/19,9.86
1/10/19,9.96
1/11/19,10.05
1/14/19,9.94
1/15/19,9.98
1/16/19,10.14
1/17/19,10.2
1/18/19,10.41
1/21/19,10.46
1/22/19,10.17
1/23/19,10.32
1/24/19,10.37
1/25/19,10.69
1/28/19,10.62
1/29/19,10.56
1/30/19,10.69
1/31/19,10.58
2/1/19,10.59
2/4/19,10.78
2/5/19,10.96
2/6/19,10.97
2/7/19,10.77
2/8/19,10.74
2/11/19,10.98
2/12/19,11.14
2/13/19,11.24
2/14/19,11.3
2/15/19,11.5
2/19/19,11.57
2/20/19,11.2
2/21/19,11.07
2/22/19,11.35
2/25/19,11.52
2/26/19,11.41
2/27/19,11.45
2/28/19,11.44
3/1/19,11.66
3/4/19,11.64
3/5/19,11.64
3/6/19,12.23
3/7/19,12.16
3/8/19,12.32
3/11/19,12.41
3/12/19,12.6
3/13/19,12.55
3/14/19,12.43
3/15/19,12.63
3/18/19,12.57
3/19/19,12.45
3/20/19,12.45
3/21/19,12.52
3/22/19,12.12
3/25/19,11.83
3/26/19,11.8
3/27/19,11.74
3/28/19,11.91
3/29/19,13.47
4/1/19,12.75
4/2/19,12.81
4/3/19,12.76
4/4/19,12.45
4/5/19,12.52
4/8/19,12.47
4/9/19,12.43
4/10/19,12.41
4/11/19,12.51
4/12/19,12.37
4/15/19,12.32
4/16/19,12.42
4/17/19,12.28
4/18/19,12.34
4/22/19,12.34
4/23/19,12.35
4/24/19,12.04
4/25/19,12.2
4/26/19,12.38
4/29/19,12.49
4/30/19,12.29
5/1/19,12.19
5/2/19,12.42
5/3/19,12.62
5/6/19,12.32
5/7/19,12.11
5/8/19,12.03
5/9/19,11.91
5/10/19,11.81
5/13/19,11.26
5/14/19,11.4
5/15/19,11.52
5/16/19,11.63
5/17/19,11.37
5/21/19,11.06
5/22/19,11.18
5/23/19,10.82
5/24/19,10.83
5/27/19,10.9
5/28/19,10.87
5/29/19,10.67
5/30/19,10.68
5/31/19,10.61
6/3/19,10.53
6/4/19,10.78
6/5/19,10.6
6/6/19,10.49
6/7/19,10.55
6/10/19,10.52
6/11/19,10.96
6/12/19,11.64
6/13/19,11.58
6/14/19,11.47
6/17/19,11.57
6/18/19,11.67
6/19/19,11.89
6/20/19,11.38
6/21/19,11.17
6/24/19,11.16
6/25/19,10.89
6/26/19,9.9
6/27/19,9.65
6/28/19,9.76
7/2/19,9.76
7/3/19,9.8
7/4/19,9.74
7/5/19,9.67
7/8/19,9.33
7/9/19,9.55
7/10/19,9.25
7/11/19,9.27
7/12/19,9.38
7/15/19,9.4
7/16/19,9.34
7/17/19,9.28
7/18/19,9.16
7/19/19,9.26
7/22/19,9.33
7/23/19,9.49
7/24/19,9.6
7/25/19,9.52
7/26/19,9.72
7/29/19,9.66
7/30/19,9.77
7/31/19,9.63
8/1/19,9.61
8/2/19,9.43
8/6/19,8.98
8/7/19,9.08
8/8/19,9.34
8/9/19,9.22
8/12/19,9.06
8/13/19,9.27
8/14/19,9.01
8/15/19,8.9
8/16/19,9.11
8/19/19,9.28
8/20/19,9.16
8/21/19,9.45
8/22/19,9.37
8/23/19,9.28
8/26/19,9.08
8/27/19,8.96
8/28/19,9.07
8/29/19,9.26
8/30/19,9.14
9/3/19,9.02
9/4/19,9.15
9/5/19,9.66
9/6/19,9.48
9/9/19,9.16
9/10/19,9.4
9/11/19,9.92
9/12/19,9.78
9/13/19,9.91
9/16/19,10.07
9/17/19,10.07
9/18/19,10
9/19/19,10.01
9/20/19,10.01
9/23/19,9.93
9/24/19,7.68
9/25/19,7.36
9/26/19,7.24
9/27/19,6.97
9/30/19,6.94
10/1/19,6.79
10/2/19,6.69
10/3/19,6.81
10/4/19,6.87
10/7/19,6.79
10/8/19,6.5
10/9/19,6.64
10/10/19,6.75
10/11/19,7.02
10/15/19,6.92
10/16/19,6.75
10/17/19,6.83
10/18/19,6.67
10/21/19,6.8
10/22/19,6.75
10/23/19,6.81
10/24/19,6.75
10/25/19,6.81
10/28/19,6.9
10/29/19,6.89
10/30/19,6.98
10/31/19,6.92
11/1/19,7.23
11/4/19,7.38
11/5/19,7.29
11/6/19,7.32
11/7/19,7.3
11/8/19,7.34
11/11/19,7.36
11/12/19,7.45
11/13/19,7.32
11/14/19,7.13
11/15/19,7.23
11/18/19,6.96
11/19/19,7.09
11/20/19,6.99
11/21/19,7.1
11/22/19,7.46
11/25/19,7.3
11/26/19,7.36
11/27/19,7.45
11/28/19,7.33
11/29/19,7.33
12/2/19,7.3
12/3/19,7.16
12/4/19,7.14
12/5/19,7.08
12/6/19,7.17
12/9/19,7.2
12/10/19,7.13
12/11/19,7.3
12/12/19,7.46
12/13/19,7.47
12/16/19,7.53
12/17/19,7.51
12/18/19,7.4
12/19/19,7.63
12/20/19,8.57
12/23/19,8.53
12/24/19,8.37
12/27/19,8.44
12/30/19,8.39
