5/21/2015 16:00:00,31.25,211058,35.03,35.03,30
5/22/2015 16:00:00,34.94,224174,32.32,38,32
5/25/2015 16:00:00,37.26,105460,35,37.47,35
5/26/2015 16:00:00,36.92,75935,37.26,37.69,36.3
5/27/2015 16:00:00,34.5,135778,38,38.16,33.63
5/28/2015 16:00:00,34,28756,34.6,34.6,33.14
5/29/2015 16:00:00,33.52,15319,33.71,34.11,33.35
6/1/2015 16:00:00,33.85,8839,33.73,34.27,33.52
6/2/2015 16:00:00,33.13,7318,34.72,34.72,33.13
6/3/2015 16:00:00,34.19,29821,33.98,34.26,33
6/4/2015 16:00:00,33.45,32221,34.99,34.99,31.88
6/5/2015 16:00:00,33.98,4341,33.97,33.98,33.1
6/8/2015 16:00:00,33.64,4818,33.98,34.11,33.5
6/9/2015 16:00:00,34.99,12200,33.29,34.99,33.01
6/10/2015 16:00:00,34.5,11558,34.83,34.99,34.37
6/11/2015 16:00:00,37.65,23911,35.5,37.65,35.5
6/12/2015 16:00:00,41.45,61824,38.92,41.5,38.67
6/15/2015 16:00:00,43.5,87251,42,46.99,41.36
6/16/2015 16:00:00,46.95,62258,44.89,47.2,44.69
6/17/2015 16:00:00,47.19,106688,48.8,51.92,47.01
6/18/2015 16:00:00,43.5,83245,47.2,47.2,42
6/19/2015 16:00:00,43.2,56508,44.44,44.73,40
6/23/2015 16:00:00,43.41,27499,47.13,47.2,43.41
6/24/2015 16:00:00,44.6,22812,44.49,46.22,42.5
6/25/2015 16:00:00,43.3,14354,44.99,45.15,42.9
6/26/2015 16:00:00,41.2,25017,43.45,43.45,40.6
6/29/2015 16:00:00,38.77,25632,40.34,41.45,38.66
6/30/2015 16:00:00,42.38,22790,38.99,42.74,38.99
7/2/2015 16:00:00,39.25,28036,39.68,40.06,38.6
7/3/2015 16:00:00,39.8,6818,39,40.07,39
7/6/2015 16:00:00,38.46,9288,38.45,39.95,38.45
7/7/2015 16:00:00,39.01,23303,38.46,39.01,36.41
7/8/2015 16:00:00,37.05,24171,39,39,37.05
7/9/2015 16:00:00,37.25,8520,37.65,38.5,36.7
7/10/2015 16:00:00,37.48,13072,38.42,38.5,37.15
7/13/2015 16:00:00,38.75,14189,38,39.55,38
7/14/2015 16:00:00,39.45,17185,39.62,39.79,39.05
7/15/2015 16:00:00,37.9,16406,39.99,39.99,37.5
7/16/2015 16:00:00,38,5086,38.01,38.47,37.5
7/17/2015 16:00:00,41.9,39740,38.5,41.9,38
7/20/2015 16:00:00,43.64,31165,41.89,44,41.5
7/21/2015 16:00:00,43,24482,44.16,44.89,41.73
7/22/2015 16:00:00,42.06,13990,41.89,43.49,41
7/23/2015 16:00:00,42.83,12409,43.29,44.75,42.75
7/24/2015 16:00:00,43.56,20155,43.84,45.37,43.56
7/27/2015 16:00:00,42.86,10115,42.99,43.91,41.82
7/28/2015 16:00:00,44.25,11159,42.86,44.58,42.54
7/29/2015 16:00:00,44.52,13871,43.95,44.8,43.2
7/30/2015 16:00:00,49.5,84781,50,52,47.97
7/31/2015 16:00:00,48.88,25170,48.02,49.72,47.74
8/4/2015 16:00:00,50.4,44667,50.68,53.5,50.4
8/5/2015 16:00:00,50.38,22264,50.56,52.5,50.16
8/6/2015 16:00:00,47.32,42935,49.98,50.75,46.26
8/7/2015 16:00:00,46.51,17100,47.53,47.53,45.01
8/10/2015 16:00:00,43.06,19771,47.2,47.25,42.87
8/11/2015 16:00:00,46.05,19572,42.92,46.71,42.92
8/12/2015 16:00:00,45.26,11561,45.6,45.6,43.83
8/13/2015 16:00:00,46.45,16411,45.74,47.69,45
8/14/2015 16:00:00,45.48,12984,47.18,47.18,44.8
8/17/2015 16:00:00,45.36,7093,45.51,45.55,43.86
8/18/2015 16:00:00,42.52,14265,44.32,44.55,42.52
8/19/2015 16:00:00,40.91,28331,42.25,42.25,40.27
8/20/2015 16:00:00,38.58,27844,40.91,40.91,38.26
8/21/2015 16:00:00,36.68,29216,37.75,39.3,36
8/24/2015 16:00:00,35,100879,31.05,37.42,30.5
8/25/2015 16:00:00,36.03,43675,37.55,39.5,35.89
8/26/2015 16:00:00,37.65,29366,37.91,37.99,35.1
8/27/2015 16:00:00,37.57,22117,37.8,39.15,37.28
8/28/2015 16:00:00,36.99,15852,37.35,38.25,36.71
8/31/2015 16:00:00,36.71,14690,37,37.89,36
