time,close
2018-01-02 09:30:00-05:00,315.87
2018-01-02 09:45:00-05:00,317.5
2018-01-02 10:00:00-05:00,318.035
2018-01-02 10:15:00-05:00,317.47
2018-01-02 10:30:00-05:00,316.875
2018-01-02 10:45:00-05:00,317.94
2018-01-02 11:00:00-05:00,319.675
2018-01-02 11:15:00-05:00,320.715
2018-01-02 11:30:00-05:00,320.44
2018-01-02 11:45:00-05:00,320.43
2018-01-02 12:00:00-05:00,320.83
2018-01-02 12:15:00-05:00,319.57
2018-01-02 12:30:00-05:00,319.25
2018-01-02 12:45:00-05:00,319.42
2018-01-02 13:00:00-05:00,319.5
2018-01-02 13:15:00-05:00,319.33
2018-01-02 13:30:00-05:00,319.715
2018-01-02 13:45:00-05:00,319.715
2018-01-02 14:00:00-05:00,320.91
2018-01-02 14:15:00-05:00,320.7
2018-01-02 14:30:00-05:00,321.22
2018-01-02 14:45:00-05:00,320.4
2018-01-02 15:00:00-05:00,320.631
2018-01-02 15:15:00-05:00,320.08
2018-01-02 15:30:00-05:00,320.06
2018-01-02 15:45:00-05:00,320.34
2018-01-03 09:30:00-05:00,320.47
2018-01-03 09:45:00-05:00,324.81
2018-01-03 10:00:00-05:00,322.76
2018-01-03 10:15:00-05:00,322.175
2018-01-03 10:30:00-05:00,323.54
2018-01-03 10:45:00-05:00,322.611
2018-01-03 11:00:00-05:00,322.03
2018-01-03 11:15:00-05:00,320.96
2018-01-03 11:30:00-05:00,320.16
2018-01-03 11:45:00-05:00,320.31
2018-01-03 12:00:00-05:00,319.43
2018-01-03 12:15:00-05:00,319.27
2018-01-03 12:30:00-05:00,320.34
2018-01-03 12:45:00-05:00,320.29
2018-01-03 13:00:00-05:00,319.8
2018-01-03 13:15:00-05:00,319.55
2018-01-03 13:30:00-05:00,319.0
2018-01-03 13:45:00-05:00,318.0
2018-01-03 14:00:00-05:00,316.94
2018-01-03 14:15:00-05:00,317.215
2018-01-03 14:30:00-05:00,316.8
2018-01-03 14:45:00-05:00,315.71
2018-01-03 15:00:00-05:00,315.75
2018-01-03 15:15:00-05:00,317.27
2018-01-03 15:30:00-05:00,316.65
2018-01-03 15:45:00-05:00,317.17
2018-01-03 16:15:00-05:00,310.59
2018-01-04 07:15:00-05:00,309.01
2018-01-04 08:00:00-05:00,306.17
2018-01-04 09:15:00-05:00,312.51
2018-01-04 09:30:00-05:00,308.28
2018-01-04 09:45:00-05:00,308.7
2018-01-04 10:00:00-05:00,307.52
2018-01-04 10:15:00-05:00,308.7
2018-01-04 10:30:00-05:00,311.84
2018-01-04 10:45:00-05:00,313.25
2018-01-04 11:00:00-05:00,314.12
2018-01-04 11:15:00-05:00,316.135
2018-01-04 11:30:00-05:00,317.07
2018-01-04 11:45:00-05:00,315.85
2018-01-04 12:00:00-05:00,315.76
2018-01-04 12:15:00-05:00,315.56
2018-01-04 12:30:00-05:00,317.19
2018-01-04 12:45:00-05:00,314.95
2018-01-04 13:00:00-05:00,313.51
2018-01-04 13:15:00-05:00,313.07
2018-01-04 13:30:00-05:00,313.295
2018-01-04 13:45:00-05:00,314.59
2018-01-04 14:00:00-05:00,315.35
2018-01-04 14:15:00-05:00,313.72
2018-01-04 14:30:00-05:00,313.76
2018-01-04 14:45:00-05:00,314.47
2018-01-04 15:00:00-05:00,314.051
2018-01-04 15:15:00-05:00,314.8
2018-01-04 15:30:00-05:00,313.91
2018-01-04 15:45:00-05:00,314.71
2018-01-05 08:45:00-05:00,316.79
2018-01-05 09:30:00-05:00,314.69
2018-01-05 09:45:00-05:00,315.6
2018-01-05 10:00:00-05:00,314.71
2018-01-05 10:15:00-05:00,313.61
2018-01-05 10:30:00-05:00,313.45
2018-01-05 10:45:00-05:00,313.51
2018-01-05 11:00:00-05:00,313.29
2018-01-05 11:15:00-05:00,314.67
2018-01-05 11:30:00-05:00,315.38
2018-01-05 11:45:00-05:00,315.35
2018-01-05 12:00:00-05:00,315.78
2018-01-05 12:15:00-05:00,315.22
2018-01-05 12:30:00-05:00,315.48
2018-01-05 12:45:00-05:00,316.97
2018-01-05 13:00:00-05:00,316.37
2018-01-05 13:15:00-05:00,315.72
2018-01-05 13:30:00-05:00,316.81
2018-01-05 13:45:00-05:00,315.75
2018-01-05 14:00:00-05:00,316.35
2018-01-05 14:15:00-05:00,316.08
2018-01-05 14:30:00-05:00,315.66
2018-01-05 14:45:00-05:00,316.14
2018-01-05 15:00:00-05:00,315.92
2018-01-05 15:15:00-05:00,315.38
2018-01-05 15:30:00-05:00,315.13
2018-01-05 15:45:00-05:00,316.68
2018-01-08 09:30:00-05:00,319.81
2018-01-08 09:45:00-05:00,324.62
2018-01-08 10:00:00-05:00,326.94
2018-01-08 10:15:00-05:00,328.545
2018-01-08 10:30:00-05:00,329.4
2018-01-08 10:45:00-05:00,331.77
2018-01-08 11:00:00-05:00,329.7
2018-01-08 11:15:00-05:00,331.57
2018-01-08 11:30:00-05:00,332.73
2018-01-08 11:45:00-05:00,333.99
2018-01-08 12:00:00-05:00,335.05
2018-01-08 12:15:00-05:00,336.14
2018-01-08 12:30:00-05:00,334.525
2018-01-08 12:45:00-05:00,335.4
2018-01-08 13:00:00-05:00,334.91
2018-01-08 13:15:00-05:00,335.3
2018-01-08 13:30:00-05:00,335.91
2018-01-08 13:45:00-05:00,335.9
2018-01-08 14:00:00-05:00,336.2
2018-01-08 14:15:00-05:00,335.84
2018-01-08 14:30:00-05:00,334.81
2018-01-08 14:45:00-05:00,334.01
2018-01-08 15:00:00-05:00,334.74
2018-01-08 15:15:00-05:00,334.02
2018-01-08 15:30:00-05:00,335.48
2018-01-08 15:45:00-05:00,336.46
2018-01-08 16:30:00-05:00,336.65
2018-01-09 09:30:00-05:00,330.41
2018-01-09 09:45:00-05:00,330.05
2018-01-09 10:00:00-05:00,329.94
2018-01-09 10:15:00-05:00,331.23
2018-01-09 10:30:00-05:00,332.06
2018-01-09 10:45:00-05:00,331.39
2018-01-09 11:00:00-05:00,334.98
2018-01-09 11:15:00-05:00,336.3
2018-01-09 11:30:00-05:00,334.65
2018-01-09 11:45:00-05:00,335.585
2018-01-09 12:00:00-05:00,336.32
2018-01-09 12:15:00-05:00,337.92
2018-01-09 12:30:00-05:00,337.81
2018-01-09 12:45:00-05:00,336.03
2018-01-09 13:00:00-05:00,335.93
2018-01-09 13:15:00-05:00,336.54
2018-01-09 13:30:00-05:00,336.22
2018-01-09 13:45:00-05:00,336.74
2018-01-09 14:00:00-05:00,336.44
2018-01-09 14:15:00-05:00,335.845
2018-01-09 14:30:00-05:00,335.64
2018-01-09 14:45:00-05:00,335.82
2018-01-09 15:00:00-05:00,335.69
2018-01-09 15:15:00-05:00,335.85
2018-01-09 15:30:00-05:00,335.64
2018-01-09 15:45:00-05:00,333.69
2018-01-10 09:30:00-05:00,336.725
2018-01-10 09:45:00-05:00,333.98
2018-01-10 10:00:00-05:00,334.21
2018-01-10 10:15:00-05:00,334.74
2018-01-10 10:30:00-05:00,334.27
2018-01-10 10:45:00-05:00,333.87
2018-01-10 11:00:00-05:00,334.2
2018-01-10 11:15:00-05:00,334.92
2018-01-10 11:30:00-05:00,334.92
2018-01-10 11:45:00-05:00,333.82
2018-01-10 12:00:00-05:00,333.2
2018-01-10 12:15:00-05:00,332.94
2018-01-10 12:30:00-05:00,333.43
2018-01-10 12:45:00-05:00,333.09
2018-01-10 13:00:00-05:00,334.225
2018-01-10 13:15:00-05:00,333.22
2018-01-10 13:30:00-05:00,333.695
2018-01-10 13:45:00-05:00,334.03
2018-01-10 14:00:00-05:00,334.13
2018-01-10 14:15:00-05:00,333.69
2018-01-10 14:30:00-05:00,333.161
2018-01-10 14:45:00-05:00,333.28
2018-01-10 15:00:00-05:00,333.47
2018-01-10 15:15:00-05:00,333.86
2018-01-10 15:30:00-05:00,334.54
2018-01-10 15:45:00-05:00,334.84
2018-01-10 16:00:00-05:00,333.93
2018-01-10 16:15:00-05:00,334.1563
2018-01-11 09:30:00-05:00,338.54
2018-01-11 09:45:00-05:00,338.54
2018-01-11 10:00:00-05:00,339.01
2018-01-11 10:15:00-05:00,339.22
2018-01-11 10:30:00-05:00,339.84
2018-01-11 10:45:00-05:00,341.21
2018-01-11 11:00:00-05:00,343.36
2018-01-11 11:15:00-05:00,342.6
2018-01-11 11:30:00-05:00,343.08
2018-01-11 11:45:00-05:00,342.15
2018-01-11 12:00:00-05:00,341.81
