Date,Open,High,Low,Close,Volume
1/3/07,77.339996,77.709999,76.400002,44.707417,525700
1/4/07,77.230003,77.260002,76.629997,44.765377,166100
1/5/07,77.099998,77.099998,75.75,43.936401,143700
1/8/07,76,76,75.43,44.000164,87000
1/9/07,75.730003,76.959999,75.730003,44.556675,136300
1/10/07,76.720001,77.900002,76.550003,45.130608,138600
1/11/07,78.099998,79.330002,78.099998,45.716103,186800
1/12/07,78.949997,79.279999,78.809998,45.86105,185900
1/16/07,79.75,80.339996,79.290001,46.510338,161800
1/17/07,80.239998,80.5,79.32,46.492935,120000
1/18/07,80.25,80.489998,79.809998,46.434967,85200
1/19/07,79.940002,80.900002,79.610001,46.898731,81800
1/22/07,80.949997,80.949997,80.089996,46.504517,76000
1/23/07,80.360001,80.919998,80.269997,46.724815,114300
1/24/07,80.699997,81.650002,80.599998,47.333515,97500
1/25/07,82.160004,82.75,81.879997,47.623363,174500
1/26/07,82.449997,82.470001,81.699997,47.779881,117000
1/29/07,82.599998,82.800003,82.190002,47.936405,145600
1/30/07,82.82,83.099998,82.25,48.174103,87400
1/31/07,83.199997,83.940002,82.660004,48.556709,139800
2/1/07,83.830002,84.110001,83.139999,48.748016,885600
2/2/07,84.139999,84.239998,83.68,48.834965,130900
2/5/07,84.400002,84.410004,84.150002,48.834965,168400
2/6/07,84.75,85.480003,84.620003,49.553818,139400
2/7/07,85.529999,87.269997,85.050003,50.591488,254600
2/8/07,86.889999,87.440002,86.449997,50.203091,172600
2/9/07,86.75,86.879997,83.730003,49.623367,285800
2/12/07,85.599998,85.599998,83.709999,48.724815,274400
2/13/07,83.849998,85.68,83.379997,49.66975,199300
2/14/07,85.800003,85.970001,84.790001,49.31612,291800
2/15/07,85.25,86.089996,84.919998,49.681362,175700
2/16/07,85.540001,85.650002,84.400002,49.553818,130500
2/20/07,85.339996,86.279999,84.510002,49.936405,106900
2/21/07,85.940002,85.940002,85.150002,49.774101,129900
2/22/07,85.949997,85.949997,85.080002,49.507427,96900
2/23/07,85.25,85.309998,83.800003,48.643665,166700
2/26/07,84.059998,84.300003,82.059998,48.400169,230500
2/27/07,82.139999,82.540001,80.080002,46.898731,302000
2/28/07,80.910004,82.239998,80.879997,47.246559,949600
3/1/07,80.400002,81.800003,78,46.771179,332600
3/2/07,80.279999,80.620003,79.230003,46.029148,251600
3/5/07,78.440002,78.510002,76.300003,44.237843,300100
3/6/07,77.099998,79.279999,77.099998,45.86105,163300
3/7/07,78.68,79.160004,77.889999,45.217564,95000
3/8/07,78.099998,79.809998,78.099998,45.942211,137100
3/9/07,80.199997,80.360001,79.57,46.550892,132200
3/12/07,80.290001,80.970001,79.730003,46.782768,103800
3/13/07,80.5,80.699997,78.519997,45.681332,129500
3/14/07,78.400002,79.279999,77.5,45.901627,111900
3/15/07,79.470001,79.900002,79.32,46.313221,118300
3/16/07,79.879997,79.879997,78.940002,45.797276,131400
3/19/07,79.75,80.129997,79.339996,46.255245,140300
3/20/07,79.800003,80.269997,79.389999,46.440754,67800
3/21/07,79.949997,81.290001,79.5,47.003078,82300
3/22/07,81.089996,81.400002,80.620003,47.049446,178900
3/23/07,81.25,81.68,81.050003,47.078449,222000
3/26/07,80.790001,80.809998,79.199997,46.32452,469400
3/27/07,79.080002,79.230003,78.25,45.840595,103300
3/28/07,78.150002,78.809998,77.379997,45.537384,104800
3/29/07,78.800003,78.82,77.769997,45.613197,115900
3/30/07,78.050003,79.349998,78.050003,46.266235,231300
4/2/07,79.300003,79.949997,78.900002,46.557781,151100
4/3/07,80.330002,80.790001,80.089996,46.965908,186400
4/4/07,80.550003,80.550003,79.650002,46.732674,88500
4/5/07,80,80.360001,80,46.686035,66900
4/9/07,80.099998,80.349998,80,46.773495,97800
4/10/07,79.93,80.860001,79.93,46.965908,82500
4/11/07,80.580002,80.580002,78.970001,46.266235,137800
4/12/07,79.190002,79.190002,78.480003,45.95137,71600
4/13/07,78.699997,79.699997,78.449997,46.470306,82700
4/16/07,79.900002,79.989998,79.370003,46.528595,160900
4/17/07,79.779999,80.879997,79.779999,47.13501,95200
4/18/07,80.389999,80.720001,80.25,46.84346,75300
4/19/07,79.68,80.029999,79.419998,46.528595,66700
4/20/07,80.199997,80.449997,80.019997,46.878441,139200
4/23/07,80.400002,81.419998,80.199997,47.403214,182400
4/24/07,81.75,81.75,80.279999,47.082508,74800
4/25/07,80.93,81.309998,79.93,47.053364,152000
4/26/07,80.889999,80.989998,80.25,47.082508,57800
4/27/07,80.400002,80.75,80.230003,46.965908,56500
4/30/07,80.68,80.68,79.120003,46.20792,152300
5/1/07,79.5,79.5,77.790001,45.805595,171500
5/2/07,78.150002,79.269997,78.150002,46.16711,90800
5/3/07,79.480003,79.610001,79.050003,46.289566,48800
5/4/07,79.309998,79.349998,78.330002,45.88723,87500
5/7/07,78.639999,79.080002,78.300003,46.015511,164000
5/8/07,78.339996,78.650002,78.239998,45.712322,81900
5/9/07,78.139999,79.589996,78.139999,46.20792,76800
5/10/07,79.040001,79.040001,78.019997,45.589874,103300
5/11/07,78.349998,79.25,78.330002,46.20792,65600
5/14/07,79.18,79.470001,78.589996,45.945549,82500
5/15/07,78.900002,79.110001,77.360001,45.245869,422900
5/16/07,77.459999,77.720001,76.199997,44.686138,136700
5/17/07,76.040001,76.160004,75.07,43.910648,154700
5/18/07,75.129997,75.309998,74.010002,43.467514,373200
5/21/07,74.389999,75.790001,74.150002,43.642437,597400
5/22/07,75.099998,76.339996,74.940002,44.289658,179700
5/23/07,76,76.699997,75.18,43.951462,193000
5/24/07,75.029999,75.230003,73.199997,43.216797,208700
5/25/07,74.480003,75.449997,74.129997,43.461689,158400
5/29/07,75.400002,77.82,75,45.012638,164500
5/30/07,76.849998,79.269997,76.849998,46.219574,574700
5/31/07,79.57,79.830002,78.43,46.033009,198100
6/1/07,79.239998,79.489998,78.5,46.09713,128100
6/4/07,78.800003,79.75,78.599998,46.28371,222700
6/5/07,79.099998,79.110001,78,45.549057,126300
6/6/07,77.75,78.110001,77.160004,45.240028,74000
6/7/07,76.919998,77.059998,74.970001,43.81736,206300
6/8/07,75.050003,76.18,74.699997,44.342121,160900
6/11/07,75.769997,75.769997,74.860001,43.677402,172200
6/12/07,74.830002,74.830002,73.540001,42.919415,273900
6/13/07,74.129997,75.360001,73.949997,43.869835,105100
6/14/07,75.449997,75.449997,74.300003,43.397545,71600
6/15/07,75.120003,75.739998,75.029999,43.875675,178100
6/18/07,75.150002,75.199997,74.040001,43.19931,154200
6/19/07,73.650002,74.290001,73.32,43.280956,175900
6/20/07,74.230003,74.269997,72,41.98069,73500
6/21/07,72.25,72.580002,71.25,42.213921,346500
6/22/07,72.199997,72.32,71.559998,42.056492,110800
6/25/07,71.029999,71.339996,69.849998,41.36694,381600
6/26/07,70.230003,70.559998,69.599998,41.207546,210800
